location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Salzstraße (West), Münster;2023-03-06 03:00:00 +0100;Monday;5;2;cloudy;
Salzstraße (West), Münster;2023-03-06 04:00:00 +0100;Monday;7;1;cloudy;
Salzstraße (West), Münster;2023-03-06 05:00:00 +0100;Monday;13;1;cloudy;
Salzstraße (West), Münster;2023-03-06 06:00:00 +0100;Monday;73;1;cloudy;
Salzstraße (West), Münster;2023-03-06 07:00:00 +0100;Monday;188;1;cloudy;
Salzstraße (West), Münster;2023-03-06 08:00:00 +0100;Monday;291;1;cloudy;
Salzstraße (West), Münster;2023-03-06 09:00:00 +0100;Monday;380;1;snow;
Salzstraße (West), Münster;2023-03-06 10:00:00 +0100;Monday;683;1;snow;
Salzstraße (West), Münster;2023-03-06 11:00:00 +0100;Monday;1085;2;snow;
Salzstraße (West), Münster;2023-03-06 12:00:00 +0100;Monday;1474;2;snow;
Salzstraße (West), Münster;2023-03-06 13:00:00 +0100;Monday;1532;3;rain;
Salzstraße (West), Münster;2023-03-06 14:00:00 +0100;Monday;1307;4;cloudy;
Salzstraße (West), Münster;2023-03-06 15:00:00 +0100;Monday;1320;5;cloudy;
Salzstraße (West), Münster;2023-03-06 16:00:00 +0100;Monday;1374;5;cloudy;
Salzstraße (West), Münster;2023-03-06 17:00:00 +0100;Monday;1353;6;partly-cloudy-day;
Salzstraße (West), Münster;2023-03-06 18:00:00 +0100;Monday;1075;5;cloudy;
Salzstraße (West), Münster;2023-03-06 19:00:00 +0100;Monday;495;4;cloudy;
Salzstraße (West), Münster;2023-03-06 20:00:00 +0100;Monday;204;4;cloudy;
Salzstraße (West), Münster;2023-03-06 21:00:00 +0100;Monday;100;4;cloudy;
Salzstraße (West), Münster;2023-03-06 22:00:00 +0100;Monday;88;4;cloudy;
Salzstraße (West), Münster;2023-03-06 23:00:00 +0100;Monday;30;3;cloudy;
Salzstraße (West), Münster;2023-03-07 00:00:00 +0100;Tuesday;11;3;rain;
Salzstraße (West), Münster;2023-03-07 01:00:00 +0100;Tuesday;1;3;rain;
Salzstraße (West), Münster;2023-03-07 02:00:00 +0100;Tuesday;2;4;rain;
Salzstraße (West), Münster;2023-03-07 03:00:00 +0100;Tuesday;6;5;rain;
Salzstraße (West), Münster;2023-03-07 04:00:00 +0100;Tuesday;11;5;rain;
Salzstraße (West), Münster;2023-03-07 05:00:00 +0100;Tuesday;6;4;rain;
Salzstraße (West), Münster;2023-03-07 06:00:00 +0100;Tuesday;56;4;rain;
Salzstraße (West), Münster;2023-03-07 07:00:00 +0100;Tuesday;171;4;rain;
Salzstraße (West), Münster;2023-03-07 08:00:00 +0100;Tuesday;223;3;rain;
Salzstraße (West), Münster;2023-03-07 09:00:00 +0100;Tuesday;312;2;rain;
Salzstraße (West), Münster;2023-03-07 10:00:00 +0100;Tuesday;475;2;snow;
Salzstraße (West), Münster;2023-03-07 11:00:00 +0100;Tuesday;645;2;snow;
Salzstraße (West), Münster;2023-03-07 12:00:00 +0100;Tuesday;1109;2;snow;
Salzstraße (West), Münster;2023-03-07 13:00:00 +0100;Tuesday;1097;3;snow;
Salzstraße (West), Münster;2023-03-07 14:00:00 +0100;Tuesday;1142;3;snow;
Salzstraße (West), Münster;2023-03-07 15:00:00 +0100;Tuesday;1148;3;rain;
Salzstraße (West), Münster;2023-03-07 16:00:00 +0100;Tuesday;1061;2;snow;
Salzstraße (West), Münster;2023-03-07 17:00:00 +0100;Tuesday;989;3;rain;
Salzstraße (West), Münster;2023-03-07 18:00:00 +0100;Tuesday;816;3;rain;
Salzstraße (West), Münster;2023-03-07 19:00:00 +0100;Tuesday;467;3;rain;
Salzstraße (West), Münster;2023-03-07 20:00:00 +0100;Tuesday;234;2;rain;
Salzstraße (West), Münster;2023-03-07 21:00:00 +0100;Tuesday;140;2;rain;
Salzstraße (West), Münster;2023-03-07 22:00:00 +0100;Tuesday;106;2;rain;
Salzstraße (West), Münster;2023-03-07 23:00:00 +0100;Tuesday;66;2;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-08 00:00:00 +0100;Wednesday;16;1;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-08 01:00:00 +0100;Wednesday;12;1;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-08 02:00:00 +0100;Wednesday;8;1;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-08 03:00:00 +0100;Wednesday;2;1;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-08 04:00:00 +0100;Wednesday;9;1;cloudy;
Salzstraße (West), Münster;2023-03-08 05:00:00 +0100;Wednesday;24;0;cloudy;
Salzstraße (West), Münster;2023-03-08 06:00:00 +0100;Wednesday;76;0;cloudy;
Salzstraße (West), Münster;2023-03-08 07:00:00 +0100;Wednesday;237;0;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-08 08:00:00 +0100;Wednesday;356;0;cloudy;
Salzstraße (West), Münster;2023-03-08 09:00:00 +0100;Wednesday;600;0;cloudy;
Salzstraße (West), Münster;2023-03-08 10:00:00 +0100;Wednesday;797;0;snow;
Salzstraße (West), Münster;2023-03-08 11:00:00 +0100;Wednesday;1012;0;snow;
Salzstraße (West), Münster;2023-03-08 12:00:00 +0100;Wednesday;1212;1;snow;
Salzstraße (West), Münster;2023-03-08 13:00:00 +0100;Wednesday;1282;1;snow;
Salzstraße (West), Münster;2023-03-08 14:00:00 +0100;Wednesday;1225;2;snow;
Salzstraße (West), Münster;2023-03-08 15:00:00 +0100;Wednesday;1334;2;snow;
Salzstraße (West), Münster;2023-03-08 16:00:00 +0100;Wednesday;1389;2;snow;
Salzstraße (West), Münster;2023-03-08 17:00:00 +0100;Wednesday;1089;2;snow;
Salzstraße (West), Münster;2023-03-08 18:00:00 +0100;Wednesday;1000;2;rain;
Salzstraße (West), Münster;2023-03-08 19:00:00 +0100;Wednesday;440;1;rain;
Salzstraße (West), Münster;2023-03-08 20:00:00 +0100;Wednesday;218;1;rain;
Salzstraße (West), Münster;2023-03-08 21:00:00 +0100;Wednesday;161;1;rain;
Salzstraße (West), Münster;2023-03-08 22:00:00 +0100;Wednesday;87;1;rain;
Salzstraße (West), Münster;2023-03-08 23:00:00 +0100;Wednesday;65;1;cloudy;
Salzstraße (West), Münster;2023-03-09 00:00:00 +0100;Thursday;37;1;rain;
Salzstraße (West), Münster;2023-03-09 01:00:00 +0100;Thursday;37;1;rain;
Salzstraße (West), Münster;2023-03-09 02:00:00 +0100;Thursday;14;1;rain;
Salzstraße (West), Münster;2023-03-09 03:00:00 +0100;Thursday;13;1;rain;
Salzstraße (West), Münster;2023-03-09 04:00:00 +0100;Thursday;10;1;rain;
Salzstraße (West), Münster;2023-03-09 05:00:00 +0100;Thursday;11;1;fog;
