location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Alter Fischmarkt, Münster;2021-01-06 13:00:00 +0100;Wednesday;491;1;cloudy;
Alter Fischmarkt, Münster;2021-01-06 14:00:00 +0100;Wednesday;272;2;cloudy;
Alter Fischmarkt, Münster;2021-01-06 15:00:00 +0100;Wednesday;228;1;cloudy;
Alter Fischmarkt, Münster;2021-01-06 16:00:00 +0100;Wednesday;263;1;fog;
Alter Fischmarkt, Münster;2021-01-06 17:00:00 +0100;Wednesday;231;1;fog;
Alter Fischmarkt, Münster;2021-01-06 18:00:00 +0100;Wednesday;109;0;fog;
Alter Fischmarkt, Münster;2021-01-06 19:00:00 +0100;Wednesday;63;0;fog;
Alter Fischmarkt, Münster;2021-01-06 20:00:00 +0100;Wednesday;37;1;cloudy;
Alter Fischmarkt, Münster;2021-01-06 21:00:00 +0100;Wednesday;26;1;cloudy;
Alter Fischmarkt, Münster;2021-01-06 22:00:00 +0100;Wednesday;10;1;cloudy;
Alter Fischmarkt, Münster;2021-01-06 23:00:00 +0100;Wednesday;10;1;cloudy;
Alter Fischmarkt, Münster;2021-01-07 00:00:00 +0100;Thursday;5;1;cloudy;
Alter Fischmarkt, Münster;2021-01-07 01:00:00 +0100;Thursday;0;1;snow;
Alter Fischmarkt, Münster;2021-01-07 02:00:00 +0100;Thursday;1;1;snow;
Alter Fischmarkt, Münster;2021-01-07 03:00:00 +0100;Thursday;2;1;fog;
Alter Fischmarkt, Münster;2021-01-07 04:00:00 +0100;Thursday;1;1;fog;
Alter Fischmarkt, Münster;2021-01-07 05:00:00 +0100;Thursday;19;1;fog;
Alter Fischmarkt, Münster;2021-01-07 06:00:00 +0100;Thursday;33;1;fog;
Alter Fischmarkt, Münster;2021-01-07 07:00:00 +0100;Thursday;86;1;rain;
Alter Fischmarkt, Münster;2021-01-07 08:00:00 +0100;Thursday;135;0;snow;
Alter Fischmarkt, Münster;2021-01-07 09:00:00 +0100;Thursday;140;0;fog;
Alter Fischmarkt, Münster;2021-01-07 10:00:00 +0100;Thursday;187;0;fog;
Alter Fischmarkt, Münster;2021-01-07 11:00:00 +0100;Thursday;224;1;fog;
Alter Fischmarkt, Münster;2021-01-07 12:00:00 +0100;Thursday;204;1;fog;
Alter Fischmarkt, Münster;2021-01-07 13:00:00 +0100;Thursday;222;2;snow;
Alter Fischmarkt, Münster;2021-01-07 14:00:00 +0100;Thursday;224;2;snow;
Alter Fischmarkt, Münster;2021-01-07 15:00:00 +0100;Thursday;238;2;snow;
Alter Fischmarkt, Münster;2021-01-07 16:00:00 +0100;Thursday;202;1;snow;
Alter Fischmarkt, Münster;2021-01-07 17:00:00 +0100;Thursday;190;1;snow;
Alter Fischmarkt, Münster;2021-01-07 18:00:00 +0100;Thursday;87;1;snow;
Alter Fischmarkt, Münster;2021-01-07 19:00:00 +0100;Thursday;53;1;snow;
Alter Fischmarkt, Münster;2021-01-07 20:00:00 +0100;Thursday;30;1;snow;
Alter Fischmarkt, Münster;2021-01-07 21:00:00 +0100;Thursday;22;1;snow;
Alter Fischmarkt, Münster;2021-01-07 22:00:00 +0100;Thursday;13;1;rain;
Alter Fischmarkt, Münster;2021-01-07 23:00:00 +0100;Thursday;5;1;snow;
Alter Fischmarkt, Münster;2021-01-08 00:00:00 +0100;Friday;6;1;rain;
Alter Fischmarkt, Münster;2021-01-08 01:00:00 +0100;Friday;0;1;rain;
Alter Fischmarkt, Münster;2021-01-08 02:00:00 +0100;Friday;1;1;fog;
Alter Fischmarkt, Münster;2021-01-08 03:00:00 +0100;Friday;2;1;fog;
Alter Fischmarkt, Münster;2021-01-08 04:00:00 +0100;Friday;0;1;fog;
Alter Fischmarkt, Münster;2021-01-08 05:00:00 +0100;Friday;13;1;fog;
Alter Fischmarkt, Münster;2021-01-08 06:00:00 +0100;Friday;30;1;fog;
Alter Fischmarkt, Münster;2021-01-08 07:00:00 +0100;Friday;82;1;snow;
Alter Fischmarkt, Münster;2021-01-08 08:00:00 +0100;Friday;110;0;fog;
Alter Fischmarkt, Münster;2021-01-08 09:00:00 +0100;Friday;165;0;fog;
Alter Fischmarkt, Münster;2021-01-08 10:00:00 +0100;Friday;141;1;fog;
Alter Fischmarkt, Münster;2021-01-08 11:00:00 +0100;Friday;209;1;fog;
Alter Fischmarkt, Münster;2021-01-08 12:00:00 +0100;Friday;267;1;fog;
Alter Fischmarkt, Münster;2021-01-08 13:00:00 +0100;Friday;220;2;snow;
Alter Fischmarkt, Münster;2021-01-08 14:00:00 +0100;Friday;238;2;cloudy;
Alter Fischmarkt, Münster;2021-01-08 15:00:00 +0100;Friday;254;2;rain;
Alter Fischmarkt, Münster;2021-01-08 16:00:00 +0100;Friday;311;2;fog;
Alter Fischmarkt, Münster;2021-01-08 17:00:00 +0100;Friday;237;1;cloudy;
Alter Fischmarkt, Münster;2021-01-08 18:00:00 +0100;Friday;137;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-08 19:00:00 +0100;Friday;77;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-08 20:00:00 +0100;Friday;46;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-08 21:00:00 +0100;Friday;36;0;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-08 22:00:00 +0100;Friday;13;0;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-08 23:00:00 +0100;Friday;9;0;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-09 00:00:00 +0100;Saturday;8;0;fog;
Alter Fischmarkt, Münster;2021-01-09 01:00:00 +0100;Saturday;0;0;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-09 02:00:00 +0100;Saturday;2;1;cloudy;
Alter Fischmarkt, Münster;2021-01-09 03:00:00 +0100;Saturday;3;1;cloudy;
Alter Fischmarkt, Münster;2021-01-09 04:00:00 +0100;Saturday;2;0;cloudy;
Alter Fischmarkt, Münster;2021-01-09 05:00:00 +0100;Saturday;11;0;cloudy;
Alter Fischmarkt, Münster;2021-01-09 06:00:00 +0100;Saturday;39;0;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-09 07:00:00 +0100;Saturday;62;-1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-09 08:00:00 +0100;Saturday;148;-1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-09 09:00:00 +0100;Saturday;266;-1;cloudy;
Alter Fischmarkt, Münster;2021-01-09 10:00:00 +0100;Saturday;344;-1;fog;
Alter Fischmarkt, Münster;2021-01-09 11:00:00 +0100;Saturday;537;0;fog;
Alter Fischmarkt, Münster;2021-01-09 12:00:00 +0100;Saturday;602;1;fog;
Alter Fischmarkt, Münster;2021-01-09 13:00:00 +0100;Saturday;584;1;fog;
Alter Fischmarkt, Münster;2021-01-09 14:00:00 +0100;Saturday;364;2;cloudy;
Alter Fischmarkt, Münster;2021-01-09 15:00:00 +0100;Saturday;266;3;cloudy;
Alter Fischmarkt, Münster;2021-01-09 16:00:00 +0100;Saturday;197;2;cloudy;
Alter Fischmarkt, Münster;2021-01-09 17:00:00 +0100;Saturday;178;2;cloudy;
Alter Fischmarkt, Münster;2021-01-09 18:00:00 +0100;Saturday;104;1;cloudy;
Alter Fischmarkt, Münster;2021-01-09 19:00:00 +0100;Saturday;61;1;cloudy;
Alter Fischmarkt, Münster;2021-01-09 20:00:00 +0100;Saturday;52;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-09 21:00:00 +0100;Saturday;34;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-09 22:00:00 +0100;Saturday;16;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-09 23:00:00 +0100;Saturday;11;1;cloudy;
Alter Fischmarkt, Münster;2021-01-10 00:00:00 +0100;Sunday;13;1;cloudy;
Alter Fischmarkt, Münster;2021-01-10 01:00:00 +0100;Sunday;9;1;cloudy;
Alter Fischmarkt, Münster;2021-01-10 02:00:00 +0100;Sunday;0;2;cloudy;
Alter Fischmarkt, Münster;2021-01-10 03:00:00 +0100;Sunday;0;2;cloudy;
Alter Fischmarkt, Münster;2021-01-10 04:00:00 +0100;Sunday;2;1;cloudy;
Alter Fischmarkt, Münster;2021-01-10 05:00:00 +0100;Sunday;5;1;cloudy;
Alter Fischmarkt, Münster;2021-01-10 06:00:00 +0100;Sunday;3;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-10 07:00:00 +0100;Sunday;2;1;partly-cloudy-night;
